###############################################################################
# EEPROM Parameters
###############################################################################
Sin_Offset_EEPROM_(ADC_Counts)          , 0x0163, int,  dec, 16, 0, 0x009C, spr, spr
Cos_Offset_EEPROM_(ADC_Counts)          , 0x0164, int, dec, 16, 0, 0x009D, spr, spr
Sin_Offset_EEPROM_(Voltsx100)           , 0x014C, uint, dec, 16, 0, 0x009A, spr, spr
Cos_Offset_EEPROM_(Volts)_x_100         , 0x014D, uint, dec, 16, 0, 0x009B, spr, spr

U2C_Enable_EEPROM                        , 0x0171, uint, dec, 16, 6, 0x0102, spr, spr
U2C_Setpoint_EEPROM_(V)_x_10               , 0x0172, uint, dec, 16, 6, 0x0103, spr, spr

LV_Indicator_Threshold_EEPROM_(V)_x_10   , 0x01AB, uint, dec, 16, 6, 0x0104, spr, spr
LV_Indicator_Hysteresis_EEPROM_(V)_x_10  , 0x01AC, uint, dec, 16, 6, 0x0105, spr, spr

Analog_Output_Function_Select_EEPROM     , 0x014F, uint, dec, 16, 6, 0x00CC, spr, spr

Self_Sense_Assist_Enabled_EEPROM         , 0x01C1, uint, dec, 16, 6, 0x00FB, spr, spr
DCLink_FW_Reg_Use_EEPROM                 , 0x01C8, uint, dec, 16, 6, 0x011E, spr, spr

Active_Short_Circuit_Enabled_EEPROM      , 0x01C5, uint, dec, 16, 6, 0x011B, spr, spr
Active_Short_Circuit_Delay_EEPROM_(us)   , 0x01C6, uint, dec, 16, 6, 0x011C, spr, spr
Active_Short_Circuit_User_Off_EEPROM	 , 0x01C7, uint, dec, 16, 6, 0x011D, spr, spr

User_EEPROM_1                            , 0x01AE, uint, dec, 16, 6, 0x0106, spr, spr
User_EEPROM_2                            , 0x01AF, uint, dec, 16, 6, 0x0107, spr, spr
User_EEPROM_3                            , 0x01B0, uint, dec, 16, 6, 0x0108, spr, spr

###############################################################################
# Monitored Parameters - Resolver/Encoder
###############################################################################
#Sin_corr_(V)(x100)                      , 0x0073, int, dec, 16, 6, spr, spr, spr
#Cos_corr(V)(x100)                       , 0x0074, int, dec, 16, 6, spr, spr, spr
Gamma_Resolver_(DEG)(x10)                , 0x0075, int, dec, 16, 6, spr, spr, spr
Delta_Resolver_In_Fil_(DEG)(x10)         , 0x0089, int, dec, 16, 6, spr, spr, spr
Delta_Resolver_In_Fil_On_Coast(DEG)(x10) , 0x0063, int, dec, 16, 6, spr, spr, spr
#Theta_cmd_pm_(DEG)(x10)                 , 0x00B6, int, dec, 16, 6, spr, spr, spr
#Theta_cmd_Corrected_(DEG)(x10)          , 0x00B7, int, dec, 16, 6, spr, spr, spr

###############################################################################
# Monitored Parameters - Temperatures
###############################################################################
Motor_Temp_(C)(x10)                      , 0x00A3, int, dec, 16, 9, spr, spr, spr
Mod_A_Temp_(C)(x10)                      , 0x0091, int, dec, 16, 9, spr, spr, spr
Mod_B_Temp_(C)(x10)                      , 0x00A4, int, dec, 16, 9, spr, spr, spr
Mod_C_Temp_(C)(x10)                      , 0x00A5, int, dec, 16, 9, spr, spr, spr
PCB_Temp_(C)(x10)                        , 0x00A6, int, dec, 16, 9, spr, spr, spr
GDB_1_Temp_(C)(x10)                      , 0x00A7, int, dec, 16, 9, spr, spr, spr
GDB_2_Temp_(C)(x10)                      , 0x00F0, int, dec, 16, 9, spr, spr, spr
GDB_3_Temp_(C)(x10)                      , 0x00F1, int, dec, 16, 9, spr, spr, spr
RTD1_Temp_(C)(x10)                       , 0x00A8, int, dec, 16, 9, spr, spr, spr
RTD2_Temp_(C)(x10)                       , 0x00A9, int, dec, 16, 9, spr, spr, spr
Oil_Temp_(C)(x10)                        , 0x00BE, int, dec, 16, 9, spr, spr, spr
Oil_Pressure_(psi)(x10)                  , 0x00BF, int, dec, 16, 9, spr, spr, spr
Coolant_Temp_Est_(C)(x10)                , 0x0061, int, dec, 16, 9, spr, spr, spr

###############################################################################
# Monitored Parameters - Torque & Speed
###############################################################################
Commanded_Speed_(RPM)                    , 0x0096, int, dec, 16, 7, spr, spr, spr
Feedback_Speed_(RPM)                     , 0x0097, int, dec, 16, 7, spr, spr, spr
Speed_Rate_Limit_(RPM/s)                 , 0x0086, int, dec, 16, 7, spr, spr, spr

Commanded_Torque_(Nm)(x10)               , 0x0098, int, dec, 16, 5, spr, spr, spr
Feedback_Torque_(Nm)(x10)                , 0x0099, int, dec, 16, 5, spr, spr, spr
Voltage_Feedback_Speed_(RPM)             , 0x00BA, int, dec, 16, 7, spr, spr, spr
Torque_Shudder_(Nm)(x10)                 , 0x00BC, int, dec, 16, 5, spr, spr, spr
PWM_Frequency_(kHz)                      , 0x0060, uint, dec, 16, 5, spr, spr, spr

#Amp_Hours_Counter_(AHr)(x10)            , 0x00DE, int, dec, 16, 6, spr, spr, spr
#Motor_Torq_Capability_(Nm)(x10)         , 0x0085, int, dec, 16, 6, spr, spr, spr
#Regen_Torq_Capability_(Nm)(x10)         , 0x0086, int, dec, 16, 6, spr, spr, spr
Inverter_Discharge_Command               , 0x008A, uint, dec, 16, 6, spr, spr, spr
Inverter_Discharge_State                 , 0x0087, int, hex, 16, 6, spr, spr, spr
Inverter_Discharge_Complete_Counter      , 0x0088, int, dec, 16, 6, spr, spr, spr

###############################################################################
# Monitored Parameters - DC Voltage & Current
###############################################################################
V_DC_Filtered_(Volts)(x10)               , 0x00AD, int, dec, 16, 3, spr, spr, spr
V_MAG_Filtered_(Volts)(x10)              , 0x00AE, int, dec, 16, 3, spr, spr, spr
SW_Over_Voltage_(Volts)(x10)             , 0x006D, int, dec, 16, 3, spr, spr, spr

I_DC_Filtered_(Amps)(x10)                , 0x00AF, int, dec, 16, 2, spr, spr, spr
#I_DC_Min_(Amps)(x10)                    , 0x0060, int, dec, 16, 2, spr, spr, spr
#I_DC_Max_(Amps)(x10)                    , 0x0061, int, dec, 16, 2, spr, spr, spr
I_MAG_Filtered_(Amps)(x10)               , 0x00B0, int, dec, 16, 2, spr, spr, spr
SW_Over_Current_(Amps)(x10)              , 0x0071, int, dec, 16, 2, spr, spr, spr
Amp_hours_(AHr)(x10)                     , 0x009F, int, dec, 16, 2, spr, spr, spr
Ia_ADC_Fil                               , 0x00DE, int, dec, 16, 2, spr, spr, spr
Ib_ADC_Fil                               , 0x00DF, int, dec, 16, 2, spr, spr, spr
Ic_ADC_Fil                               , 0x00E0, int, dec, 16, 2, spr, spr, spr

Ia_corr_(Amps)(x10)                      , 0x00E1, int, dec, 16, 2, spr, spr, spr
Ib_corr_(Amps)(x10)                      , 0x00E2, int, dec, 16, 2, spr, spr, spr
Ic_corr_(Amps)(x10)                      , 0x00D6, int, dec, 16, 2, spr, spr, spr

Ia_corr_Fil_(Amps)(x10)                  , 0x00EA, int, dec, 16, 2, spr, spr, spr
Ib_corr_Fil_(Amps)(x10)                  , 0x00EB, int, dec, 16, 2, spr, spr, spr
Ic_corr_Fil_(Amps)(x10)                  , 0x00EC, int, dec, 16, 2, spr, spr, spr

Vab_Voltage_(Volts)(x10)                 , 0x00A1, int, dec, 16, 3, spr, spr, spr
Vbc_Voltage_(Volts)(x10)                 , 0x00A2, int, dec, 16, 3, spr, spr, spr

###############################################################################
# Monitored Parameters - VSM IOs
###############################################################################
ID_Bits                                  , 0x00CE, uint, dec, 16, 6, spr, spr, spr
Group_Number                             , 0x00A0, uint, dec, 16, 6, spr, spr, spr
Inverter_Mode                            , 0x0092, uint, dec, 16, 6, spr, spr, spr
VSM_State                                , 0x0093, uint, dec, 16, 6, spr, spr, spr
Inverter_Enable                          , 0x0094, uint, dec, 16, 6, spr, spr, spr
BMS_Limit_Msg_Status                     , 0x0065, uint, dec, 16, 6, spr, spr, spr
Vehicle_Direction                        , 0x0095, int, dec, 16, 6, spr, spr, spr
DIN1_Forward_Switch                      , 0x009B, uint, dec, 16, 6, spr, spr, spr
DIN2_Reverse_Switch                      , 0x009C, uint, dec, 16, 6, spr, spr, spr
DIN3_Brake_Switch                        , 0x009A, uint, dec, 16, 6, spr, spr, spr
DIN4_Regen_Disable_Switch                , 0x00B8, uint, dec, 16, 6, spr, spr, spr
DIN5_Ignition_Input                      , 0x00B1, uint, dec, 16, 6, spr, spr, spr
DIN6_Start_Input                         , 0x00B2, uint, dec, 16, 6, spr, spr, spr
DIN7_Switch                              , 0x005B, uint, dec, 16, 6, spr, spr, spr
DIN8_Switch                              , 0x005E, uint, dec, 16, 6, spr, spr, spr
Program_Enable_Input                     , 0x00D7, uint, dec, 16, 6, spr, spr, spr
RLY1_Precharge_Output_Status             , 0x00B4, uint, dec, 16, 6, spr, spr, spr
RLY2_Main_Output_Status                  , 0x00B5, uint, dec, 16, 6, spr, spr, spr
RLY3_OK_Output_Status                    , 0x00B3, uint, dec, 16, 6, spr, spr, spr
RLY4_Fault_Output_Status                 , 0x00BB, uint, dec, 16, 6, spr, spr, spr
RLY5_Output_Status                       , 0x00F4, uint, dec, 16, 6, spr, spr, spr
RLY6_Output_Status                       , 0x00F5, uint, dec, 16, 6, spr, spr, spr
Fault_Reset_Output_Status                , 0x00C0, uint, dec, 16, 6, spr, spr, spr
SAT_Fault_Status                         , 0x00C1, uint, dec, 16, 6, spr, spr, spr
Over-Current_Fault_Status                , 0x00C2, uint, dec, 16, 6, spr, spr, spr
Over-Voltage_Fault_Status                , 0x00F3, uint, dec, 16, 6, spr, spr, spr
Phase_A_Over-Current_Fault_Status        , 0x00ED, uint, dec, 16, 6, spr, spr, spr
Phase_B_Over-Current_Fault_Status        , 0x00EE, uint, dec, 16, 6, spr, spr, spr
